t,mem_available_gib,gtt_used_gib,vram_used_gib,rss_gib
0.00,106.76,0.02,0.16,0.00
0.25,106.68,0.02,0.16,0.16
0.50,106.32,0.16,0.16,0.27
0.75,104.05,92.07,0.16,0.27
1.00,98.33,92.07,0.16,0.27
1.25,92.84,92.07,0.16,0.27
1.50,87.38,92.07,0.16,0.27
1.76,81.88,92.07,0.16,0.27
2.01,76.39,92.07,0.16,0.27
2.26,70.90,92.07,0.16,0.27
2.51,65.41,92.07,0.16,0.27
2.76,59.90,92.07,0.16,0.27
3.01,54.30,92.07,0.16,0.27
3.26,48.80,92.07,0.16,0.27
3.51,43.14,92.07,0.16,0.27
3.76,37.66,92.07,0.16,0.27
4.01,32.22,92.07,0.16,0.27
4.26,26.78,92.07,0.16,0.27
4.51,21.26,92.07,0.16,0.27
4.76,15.77,92.07,0.16,0.27
5.01,13.80,92.07,0.17,0.61
5.27,13.94,92.07,0.17,0.61
5.52,13.94,92.07,0.17,0.61
5.77,13.71,92.07,0.17,0.61
6.02,13.71,92.07,0.17,0.61
6.27,13.71,92.07,0.17,0.61
6.52,13.82,92.07,0.17,0.65
6.77,13.83,92.07,0.17,0.65
7.02,13.83,92.07,0.17,0.65
7.27,13.83,92.07,0.17,0.65
7.52,13.90,92.07,0.17,0.65
7.77,13.91,92.07,0.17,0.65
8.02,13.90,92.07,0.17,0.65
8.27,13.86,92.07,0.17,0.65
8.53,13.87,92.07,0.17,0.65
8.78,13.89,92.07,0.17,0.65
9.03,13.90,92.07,0.17,0.65
9.28,13.86,92.07,0.17,0.65
9.53,13.84,92.07,0.17,0.64
9.78,13.85,92.07,0.17,0.64
10.03,13.84,92.07,0.17,0.64
10.28,13.84,92.07,0.17,0.64
10.53,13.84,92.07,0.17,0.64
10.78,13.83,92.07,0.17,0.64
11.03,13.83,92.07,0.17,0.64
11.28,13.84,92.07,0.17,0.64
11.53,13.83,92.07,0.17,0.65
11.78,13.86,92.07,0.17,0.65
12.03,13.83,92.07,0.17,0.65
12.28,13.82,92.07,0.17,0.65
12.53,13.80,92.07,0.17,0.65
12.79,13.82,92.07,0.17,0.65
13.04,13.83,92.07,0.17,0.65
13.29,13.82,92.07,0.17,0.65
13.54,13.82,92.07,0.17,0.65
13.79,13.80,92.07,0.17,0.66
14.04,13.81,92.07,0.17,0.66
14.29,13.80,92.07,0.17,0.66
14.54,13.81,92.07,0.17,0.66
14.79,13.80,92.07,0.17,0.66
15.04,13.82,92.07,0.17,0.66
15.29,13.82,92.07,0.17,0.66
15.54,13.82,92.07,0.17,0.66
15.79,13.79,92.07,0.17,0.66
16.04,13.80,92.07,0.17,0.59
16.29,13.77,92.07,0.17,0.59
16.54,13.90,92.07,0.17,0.59
16.80,13.90,92.07,0.17,0.59
17.05,13.94,92.07,0.17,0.59
17.30,13.90,92.07,0.17,0.59
17.55,13.89,92.07,0.17,0.59
17.80,13.88,92.07,0.17,0.59
18.05,13.87,92.07,0.17,0.59
18.30,13.91,92.07,0.17,0.59
18.55,13.90,92.07,0.17,0.59
18.80,13.92,92.07,0.17,0.59
19.05,13.92,92.07,0.17,0.59
19.30,13.89,92.07,0.17,0.59
19.55,13.88,92.07,0.17,0.60
19.80,13.88,92.07,0.17,0.60
20.05,13.88,92.07,0.17,0.60
20.30,13.91,92.07,0.17,0.60
20.55,13.91,92.07,0.17,0.60
20.80,13.90,92.07,0.17,0.60
21.05,13.89,92.07,0.17,0.60
21.30,13.91,92.07,0.17,0.60
21.56,13.89,92.07,0.17,0.60
21.81,13.89,92.07,0.17,0.60
22.06,13.89,92.07,0.17,0.60
22.31,13.90,92.07,0.17,0.60
22.56,13.92,92.07,0.17,0.60
22.81,13.90,92.07,0.17,0.60
23.06,13.89,92.07,0.17,0.60
23.31,13.88,92.07,0.17,0.60
23.56,13.87,92.07,0.17,0.61
23.81,13.85,92.07,0.17,0.61
24.06,13.86,92.07,0.17,0.61
24.31,13.87,92.07,0.17,0.62
24.56,13.86,92.07,0.17,0.62
24.81,13.87,92.07,0.17,0.62
25.06,13.87,92.07,0.17,0.62
25.31,13.87,92.07,0.17,0.62
25.57,13.86,92.07,0.17,0.62
25.82,13.86,92.07,0.17,0.62
26.07,13.86,92.07,0.17,0.62
26.32,13.87,92.07,0.17,0.62
26.57,13.88,92.07,0.17,0.62
26.82,13.86,92.07,0.17,0.62
27.07,13.85,92.07,0.17,0.62
27.32,13.87,92.07,0.17,0.62
27.57,13.86,92.07,0.17,0.62
27.82,13.87,92.07,0.17,0.62
28.07,13.89,92.07,0.17,0.62
28.32,13.89,92.07,0.17,0.63
28.57,13.91,92.07,0.17,0.63
28.82,13.90,92.07,0.17,0.63
29.07,13.90,92.07,0.17,0.63
29.32,13.86,92.07,0.17,0.63
29.57,13.87,92.07,0.17,0.63
29.83,13.85,92.07,0.17,0.63
30.08,13.85,92.07,0.17,0.63
30.33,13.87,92.07,0.17,0.63
30.58,13.86,92.07,0.17,0.63
30.83,13.84,92.07,0.17,0.63
31.08,13.89,92.07,0.17,0.63
31.33,13.85,92.07,0.17,0.63
31.58,13.86,92.07,0.17,0.63
31.83,13.86,92.07,0.17,0.63
32.08,13.86,92.07,0.17,0.64
32.33,13.86,92.07,0.17,0.64
32.58,13.86,92.07,0.17,0.64
32.83,13.83,92.07,0.17,0.64
33.08,13.82,92.07,0.17,0.64
33.33,13.86,92.07,0.17,0.64
33.58,13.85,92.07,0.17,0.64
33.83,13.85,92.07,0.17,0.64
34.09,13.88,92.07,0.17,0.64
34.34,13.86,92.07,0.17,0.64
34.59,13.86,92.07,0.17,0.64
34.84,13.85,92.07,0.17,0.64
35.09,13.86,92.07,0.17,0.64
35.34,13.87,92.07,0.17,0.64
35.59,13.85,92.07,0.17,0.64
35.84,13.86,92.07,0.17,0.64
36.09,13.88,92.07,0.17,0.65
36.34,13.86,92.07,0.17,0.65
36.59,13.85,92.07,0.17,0.65
36.84,13.83,92.07,0.17,0.65
37.09,13.86,92.07,0.17,0.65
37.34,13.84,92.07,0.17,0.65
37.59,13.85,92.07,0.17,0.65
37.84,13.87,92.07,0.17,0.65
38.09,13.88,92.07,0.17,0.65
38.34,13.88,92.07,0.17,0.65
38.60,13.85,92.07,0.17,0.65
38.85,13.86,92.07,0.17,0.65
39.10,13.84,92.07,0.17,0.65
39.35,13.81,92.07,0.17,0.65
39.60,13.83,92.07,0.17,0.65
39.85,13.83,92.07,0.17,0.65
40.10,13.83,92.07,0.17,0.66
40.35,13.85,92.07,0.17,0.66
40.60,13.83,92.07,0.17,0.66
40.85,13.85,92.07,0.17,0.66
41.10,13.84,92.07,0.17,0.66
41.35,13.81,92.07,0.17,0.66
41.60,13.81,92.07,0.17,0.66
41.85,13.80,92.07,0.17,0.66
42.10,13.80,92.07,0.17,0.66
42.35,13.80,92.07,0.17,0.66
42.61,13.80,92.07,0.17,0.66
42.86,13.79,92.07,0.17,0.66
43.11,13.80,92.07,0.17,0.66
43.36,13.81,92.07,0.17,0.66
43.61,13.79,92.07,0.17,0.66
43.86,13.87,92.07,0.17,0.67
44.11,13.83,92.07,0.17,0.67
44.36,13.81,92.07,0.17,0.67
44.61,13.82,92.07,0.17,0.67
44.86,13.80,92.07,0.17,0.67
45.11,13.82,92.07,0.17,0.67
45.36,13.82,92.07,0.17,0.67
45.61,13.81,92.07,0.17,0.67
45.86,13.81,92.07,0.17,0.67
46.12,13.80,92.07,0.17,0.67
46.37,13.79,92.07,0.17,0.67
46.62,13.81,92.07,0.17,0.67
46.87,13.84,92.07,0.17,0.67
47.12,13.81,92.07,0.17,0.67
47.37,13.84,92.07,0.17,0.67
47.62,13.81,92.07,0.17,0.69
47.87,13.82,92.07,0.17,0.69
48.12,13.81,92.07,0.17,0.69
48.37,13.81,92.07,0.17,0.69
48.62,13.83,92.07,0.17,0.69
48.87,13.82,92.07,0.17,0.69
49.12,13.83,92.07,0.17,0.69
49.37,13.79,92.07,0.17,0.70
49.62,13.80,92.07,0.17,0.70
49.88,13.81,92.07,0.17,0.70
50.13,13.81,92.07,0.17,0.70
50.38,13.80,92.07,0.17,0.70
50.63,13.84,92.07,0.17,0.70
50.88,13.80,92.07,0.17,0.70
51.13,13.80,92.07,0.17,0.70
51.38,13.78,92.07,0.17,0.70
51.63,13.78,92.07,0.17,0.70
51.88,13.76,92.07,0.17,0.70
52.13,13.77,92.07,0.17,0.70
52.38,13.74,92.07,0.17,0.70
52.63,13.73,92.07,0.17,0.70
52.88,13.72,92.07,0.17,0.70
53.13,13.75,92.07,0.17,0.70
53.38,13.74,92.07,0.17,0.71
53.64,13.74,92.07,0.17,0.71
53.89,13.75,92.07,0.17,0.71
54.14,13.74,92.07,0.17,0.71
54.39,13.74,92.07,0.17,0.71
54.64,13.77,92.07,0.17,0.71
54.89,13.78,92.07,0.17,0.71
55.14,13.77,92.07,0.17,0.71
55.39,13.77,92.07,0.17,0.71
55.64,13.76,92.07,0.17,0.71
55.89,13.75,92.07,0.17,0.71
56.14,13.75,92.07,0.17,0.71
56.39,13.76,92.07,0.17,0.71
56.64,13.79,92.07,0.17,0.71
56.89,13.78,92.07,0.17,0.71
57.14,13.80,92.07,0.17,0.71
57.39,13.81,92.07,0.17,0.72
57.64,13.80,92.07,0.17,0.72
57.90,13.82,92.07,0.17,0.72
58.15,13.79,92.07,0.17,0.72
58.40,13.79,92.07,0.17,0.72
58.65,13.79,92.07,0.17,0.72
58.90,13.78,92.07,0.17,0.72
59.15,13.77,92.07,0.17,0.72
59.40,13.78,92.07,0.17,0.72
59.65,13.79,92.07,0.17,0.72
59.90,13.77,92.07,0.17,0.72
60.15,13.77,92.07,0.17,0.72
60.40,13.75,92.07,0.17,0.72
60.65,13.72,92.07,0.17,0.72
60.90,13.74,92.07,0.17,0.72
61.15,13.74,92.07,0.17,0.73
61.40,13.76,92.07,0.17,0.73
61.66,13.75,92.07,0.17,0.73
61.91,13.78,92.07,0.17,0.73
62.16,13.79,92.07,0.17,0.73
62.41,13.73,92.07,0.17,0.73
62.66,13.73,92.07,0.17,0.73
62.91,13.72,92.07,0.17,0.73
63.16,13.73,92.07,0.17,0.73
63.41,13.73,92.07,0.17,0.73
63.66,13.73,92.07,0.17,0.73
63.91,13.72,92.07,0.17,0.73
64.16,13.72,92.07,0.17,0.73
64.41,13.70,92.07,0.17,0.73
64.66,13.70,92.07,0.17,0.73
64.91,13.70,92.07,0.17,0.73
65.16,13.70,92.07,0.17,0.74
65.41,13.69,92.07,0.17,0.74
65.66,13.69,92.07,0.17,0.74
65.92,13.69,92.07,0.17,0.74
66.17,13.76,92.07,0.17,0.74
66.42,13.77,92.07,0.17,0.74
66.67,13.76,92.07,0.17,0.74
66.92,13.76,92.07,0.17,0.74
67.17,13.77,92.07,0.17,0.74
67.42,13.77,92.07,0.17,0.74
67.67,13.76,92.07,0.17,0.74
67.92,13.75,92.07,0.17,0.74
68.17,13.74,92.07,0.17,0.74
68.42,13.72,92.07,0.17,0.74
68.67,13.71,92.07,0.17,0.74
68.92,13.72,92.07,0.17,0.74
69.17,13.71,92.07,0.17,0.75
69.42,13.70,92.07,0.17,0.75
69.68,13.67,92.07,0.17,0.75
69.93,13.76,92.07,0.17,0.75
70.18,13.74,92.07,0.17,0.75
70.43,13.74,92.07,0.17,0.75
70.68,13.77,92.07,0.17,0.75
70.93,13.74,92.07,0.17,0.75
71.18,13.74,92.07,0.17,0.75
71.43,13.72,92.07,0.17,0.75
71.68,13.75,92.07,0.17,0.75
71.93,13.74,92.07,0.17,0.75
72.18,13.74,92.07,0.17,0.75
72.43,13.74,92.07,0.17,0.75
72.68,13.72,92.07,0.17,0.75
72.93,13.73,92.07,0.17,0.75
73.18,13.72,92.07,0.17,0.76
73.43,13.72,92.07,0.17,0.76
73.68,13.73,92.07,0.17,0.76
73.94,13.72,92.07,0.17,0.76
74.19,13.73,92.07,0.17,0.76
74.44,13.75,92.07,0.17,0.76
74.69,13.74,92.07,0.17,0.76
74.94,13.74,92.07,0.17,0.76
75.19,13.74,92.07,0.17,0.76
75.44,13.74,92.07,0.17,0.75
75.69,13.34,93.15,0.17,0.84
75.94,12.55,93.16,0.17,0.92
76.19,12.54,93.16,0.17,0.93
76.44,12.51,93.16,0.17,0.93
76.70,12.50,93.16,0.17,0.93
76.95,12.50,93.16,0.17,0.93
77.20,12.50,93.16,0.17,0.93
77.45,12.50,93.16,0.17,0.93
77.70,12.50,93.16,0.17,0.93
77.95,12.50,93.16,0.17,0.93
78.20,12.44,93.21,0.17,0.96
78.45,12.12,93.35,0.17,1.11
78.71,12.02,93.49,0.18,1.12
78.96,12.02,93.49,0.18,1.12
79.21,12.00,93.49,0.18,1.12
79.46,11.98,93.49,0.18,1.12
79.71,11.98,93.49,0.18,1.12
79.96,11.98,93.49,0.18,1.12
80.21,11.98,93.49,0.18,1.12
80.46,11.97,93.49,0.18,1.12
80.71,11.97,93.49,0.18,1.12
80.96,11.97,93.49,0.18,1.12
81.21,11.97,93.49,0.18,1.12
81.46,11.97,93.49,0.18,1.12
81.71,11.97,93.49,0.18,1.12
81.96,11.97,93.49,0.18,1.12
82.21,11.97,93.49,0.18,1.12
82.46,11.97,93.49,0.18,1.12
82.71,11.97,93.49,0.18,1.12
82.96,11.97,93.49,0.18,1.12
83.21,11.97,93.49,0.18,1.12
83.46,11.97,93.49,0.18,1.12
83.71,11.97,93.49,0.18,1.12
83.96,11.97,93.49,0.18,1.12
84.21,11.97,93.49,0.18,1.12
84.46,11.96,93.49,0.18,1.12
84.71,11.96,93.49,0.18,1.12
84.96,11.96,93.49,0.18,1.12
85.22,11.96,93.49,0.18,1.12
85.47,11.96,93.49,0.18,1.12
85.72,11.96,93.49,0.18,1.12
85.97,11.96,93.49,0.18,1.12
