t,mem_available_gib,gtt_used_gib,vram_used_gib,rss_gib
0.00,106.11,0.02,0.16,0.00
0.25,106.10,0.02,0.16,0.16
0.50,105.86,0.16,0.16,0.27
0.75,105.75,0.16,0.16,0.27
1.00,103.09,94.67,0.16,0.27
1.25,97.24,94.67,0.16,0.27
1.50,91.43,94.67,0.16,0.27
1.75,85.94,94.67,0.16,0.27
2.01,80.51,94.67,0.16,0.27
2.26,75.07,94.67,0.16,0.27
2.51,69.32,94.67,0.16,0.27
2.76,63.77,94.67,0.16,0.27
3.01,58.28,94.67,0.16,0.27
3.26,52.78,94.67,0.16,0.27
3.51,47.25,94.67,0.16,0.27
3.76,41.73,94.67,0.16,0.27
4.01,36.23,94.67,0.16,0.27
4.26,30.73,94.67,0.16,0.27
4.51,25.27,94.67,0.16,0.27
4.76,19.86,94.67,0.16,0.27
5.01,14.47,94.67,0.16,0.27
5.26,11.17,94.67,0.17,0.27
5.52,10.92,94.67,0.18,0.65
5.77,10.87,94.67,0.18,0.65
6.02,10.92,94.67,0.18,0.65
6.27,10.93,94.67,0.18,0.65
6.52,10.89,94.67,0.18,0.65
6.77,10.75,94.67,0.18,0.66
7.02,10.87,94.67,0.18,0.66
7.27,10.86,94.67,0.18,0.66
7.52,10.87,94.67,0.18,0.66
7.77,10.85,94.67,0.18,0.67
8.02,10.86,94.67,0.18,0.67
8.27,10.84,94.67,0.18,0.67
8.52,10.84,94.67,0.18,0.67
8.77,10.83,94.67,0.18,0.67
9.02,10.82,94.67,0.18,0.67
9.27,10.82,94.67,0.18,0.67
9.52,10.80,94.67,0.18,0.67
9.77,10.89,94.67,0.18,0.67
10.02,10.78,94.67,0.18,0.67
10.28,10.84,94.67,0.18,0.67
10.53,10.84,94.67,0.18,0.67
10.78,10.84,94.67,0.18,0.67
11.03,10.83,94.67,0.18,0.67
11.28,10.81,94.67,0.18,0.67
11.53,10.85,94.67,0.18,0.67
11.78,10.81,94.67,0.18,0.68
12.03,10.79,94.67,0.18,0.68
12.28,10.77,94.67,0.18,0.68
12.53,10.76,94.67,0.18,0.68
12.78,10.78,94.67,0.18,0.68
13.03,10.78,94.67,0.18,0.68
13.28,10.76,94.67,0.18,0.68
13.53,10.75,94.67,0.18,0.68
13.78,10.76,94.67,0.18,0.68
14.03,10.73,94.67,0.18,0.68
14.29,10.76,94.67,0.18,0.68
14.54,10.74,94.67,0.18,0.68
14.79,10.73,94.67,0.18,0.68
15.04,10.73,94.67,0.18,0.68
15.29,10.73,94.67,0.18,0.68
15.54,10.72,94.67,0.18,0.69
15.79,10.72,94.67,0.18,0.69
16.04,10.73,94.67,0.18,0.69
16.29,10.77,94.67,0.18,0.69
16.54,10.78,94.67,0.18,0.69
16.79,10.80,94.67,0.18,0.69
17.04,10.75,94.67,0.18,0.69
17.29,10.73,94.67,0.18,0.69
17.54,10.72,94.67,0.18,0.69
