t,mem_available_gib,gtt_used_gib,vram_used_gib,rss_gib
0.00,106.81,0.02,0.16,0.00
0.25,106.69,0.02,0.16,0.17
0.50,106.35,0.16,0.16,0.27
0.75,106.35,0.16,0.16,0.27
1.00,102.41,90.70,0.16,0.27
1.25,96.56,90.70,0.16,0.27
1.50,90.78,90.70,0.16,0.27
1.75,85.26,90.70,0.16,0.27
2.01,79.76,90.70,0.16,0.27
2.26,74.26,90.70,0.16,0.27
2.51,68.73,90.70,0.16,0.27
2.76,63.22,90.70,0.16,0.27
3.01,57.73,90.70,0.16,0.27
3.26,52.23,90.70,0.16,0.27
3.51,46.56,90.70,0.16,0.27
3.76,41.05,90.70,0.16,0.27
4.01,35.60,90.70,0.16,0.27
4.26,30.17,90.70,0.16,0.27
4.51,24.75,90.70,0.16,0.27
4.76,19.52,90.70,0.16,0.27
5.01,15.17,90.70,0.16,0.27
5.26,15.21,90.70,0.17,0.65
5.51,15.20,90.70,0.17,0.65
5.77,15.20,90.70,0.17,0.65
6.02,15.04,90.70,0.17,0.65
6.27,14.92,90.70,0.17,0.65
6.52,14.97,90.70,0.17,0.65
6.77,15.08,90.70,0.17,0.65
7.02,15.08,90.70,0.17,0.65
7.27,15.28,90.70,0.17,0.65
7.52,15.29,90.70,0.17,0.65
7.77,15.29,90.70,0.17,0.65
8.02,15.24,90.70,0.17,0.65
8.27,15.28,90.70,0.17,0.65
8.52,15.23,90.70,0.17,0.65
8.77,15.28,90.70,0.17,0.65
9.02,15.28,90.70,0.17,0.65
9.27,15.28,90.70,0.17,0.65
9.52,15.27,90.70,0.17,0.65
9.78,15.26,90.70,0.17,0.65
10.03,15.28,90.70,0.17,0.65
10.28,15.26,90.70,0.17,0.65
10.53,15.26,90.70,0.17,0.65
10.78,15.27,90.70,0.17,0.66
11.03,15.27,90.70,0.17,0.66
11.28,15.24,90.70,0.17,0.66
11.53,15.26,90.70,0.17,0.66
11.78,15.27,90.70,0.17,0.66
12.03,15.22,90.70,0.17,0.66
12.28,15.26,90.70,0.17,0.66
12.53,15.24,90.70,0.17,0.66
12.78,15.23,90.70,0.17,0.66
13.03,15.20,90.70,0.17,0.66
13.28,15.22,90.70,0.17,0.66
13.53,15.23,90.70,0.17,0.66
