t,mem_available_gib,gtt_used_gib,vram_used_gib,rss_gib
0.00,105.43,0.02,0.16,0.00
0.25,105.33,0.02,0.16,0.17
0.50,104.98,0.16,0.16,0.26
0.75,104.84,0.16,0.16,0.27
1.00,100.61,94.67,0.16,0.27
1.25,94.77,94.67,0.16,0.27
1.50,89.01,94.67,0.16,0.27
1.75,83.50,94.67,0.16,0.27
2.01,78.02,94.67,0.16,0.27
2.26,72.52,94.67,0.16,0.27
2.51,66.95,94.67,0.16,0.27
2.76,61.28,94.67,0.16,0.27
3.01,55.28,94.67,0.16,0.27
3.26,49.85,94.67,0.16,0.27
3.51,44.43,94.67,0.16,0.27
3.76,38.99,94.67,0.16,0.27
4.01,33.52,94.67,0.16,0.27
4.26,28.08,94.67,0.16,0.27
4.51,22.80,94.67,0.16,0.27
4.76,17.43,94.67,0.16,0.27
5.01,12.63,94.67,0.16,0.27
5.26,10.23,94.67,0.18,0.45
5.52,9.98,94.67,0.18,0.65
5.77,9.99,94.67,0.18,0.65
6.02,9.97,94.67,0.18,0.65
6.27,10.00,94.67,0.18,0.65
6.52,9.97,94.67,0.18,0.65
6.77,10.02,94.67,0.18,0.65
7.02,9.96,94.67,0.18,0.65
7.27,9.96,94.67,0.18,0.65
7.52,9.94,94.67,0.18,0.65
7.77,9.93,94.67,0.18,0.65
8.02,9.91,94.67,0.18,0.65
8.27,9.90,94.67,0.18,0.65
8.52,9.97,94.67,0.18,0.65
8.77,9.98,94.67,0.18,0.65
9.02,9.95,94.67,0.18,0.65
9.27,9.95,94.67,0.18,0.65
9.52,9.94,94.67,0.18,0.65
9.78,9.93,94.67,0.18,0.65
10.03,9.89,94.67,0.18,0.65
10.28,9.90,94.67,0.18,0.65
10.53,9.89,94.67,0.18,0.65
10.78,9.87,94.67,0.18,0.65
11.03,9.87,94.67,0.18,0.66
11.28,9.85,94.67,0.18,0.66
11.53,9.88,94.67,0.18,0.66
11.78,9.88,94.67,0.18,0.66
12.03,9.87,94.67,0.18,0.66
12.28,9.93,94.67,0.18,0.66
12.53,9.91,94.67,0.18,0.66
12.78,9.92,94.67,0.18,0.66
13.03,9.93,94.67,0.18,0.66
13.28,9.89,94.67,0.18,0.66
13.53,9.91,94.67,0.18,0.66
13.78,9.88,94.67,0.18,0.66
14.04,9.86,94.67,0.18,0.66
14.29,9.86,94.67,0.18,0.66
14.54,9.86,94.67,0.18,0.66
14.79,9.85,94.67,0.18,0.66
15.04,9.84,94.67,0.18,0.66
15.29,9.86,94.67,0.18,0.66
15.54,9.86,94.67,0.18,0.66
15.79,9.82,94.67,0.18,0.66
16.04,9.81,94.67,0.18,0.66
16.29,9.80,94.67,0.18,0.66
16.54,9.79,94.67,0.18,0.66
16.79,9.79,94.67,0.18,0.66
17.04,9.79,94.67,0.18,0.66
17.29,9.87,94.67,0.18,0.66
17.54,9.85,94.67,0.18,0.66
