t,mem_available_gib,gtt_used_gib,vram_used_gib,rss_gib
0.00,104.35,0.02,0.16,0.00
0.25,104.25,0.02,0.16,0.16
0.50,102.31,1.87,0.16,0.30
0.75,103.91,0.16,0.16,0.33
1.00,102.62,90.70,0.16,0.27
1.25,96.81,90.70,0.16,0.27
1.50,90.98,90.70,0.16,0.27
1.76,85.44,90.70,0.16,0.27
2.01,79.95,90.70,0.16,0.27
2.26,74.46,90.70,0.16,0.27
2.51,68.94,90.70,0.16,0.27
2.76,63.44,90.70,0.16,0.27
3.01,57.97,90.70,0.16,0.27
3.26,52.54,90.70,0.16,0.27
3.51,47.09,90.70,0.16,0.27
3.76,41.65,90.70,0.16,0.27
4.01,36.20,90.70,0.16,0.27
4.26,30.74,90.70,0.16,0.27
4.51,25.17,90.70,0.16,0.27
4.76,19.77,90.70,0.16,0.27
5.01,14.69,90.70,0.16,0.27
5.26,12.79,90.70,0.17,0.65
5.51,12.94,90.70,0.17,0.65
5.77,12.94,90.70,0.17,0.65
6.02,12.81,90.70,0.17,0.65
6.27,12.66,90.70,0.17,0.65
6.52,12.95,90.70,0.17,0.66
6.77,12.91,90.70,0.17,0.66
7.02,12.90,90.70,0.17,0.66
7.27,12.86,90.70,0.17,0.66
7.52,12.91,90.70,0.17,0.66
7.77,12.89,90.70,0.17,0.66
8.02,12.90,90.70,0.17,0.66
8.27,12.91,90.70,0.17,0.67
8.52,12.89,90.70,0.17,0.67
8.77,12.87,90.70,0.17,0.67
9.02,12.88,90.70,0.17,0.67
9.27,12.81,90.70,0.17,0.67
9.52,12.89,90.70,0.17,0.67
9.77,12.87,90.70,0.17,0.67
10.02,12.86,90.70,0.17,0.67
10.28,12.85,90.70,0.17,0.67
10.53,12.85,90.70,0.17,0.67
10.78,12.83,90.70,0.17,0.67
11.03,12.81,90.70,0.17,0.67
11.28,12.84,90.70,0.17,0.67
11.53,12.83,90.70,0.17,0.67
11.78,12.82,90.70,0.17,0.68
12.03,12.86,90.70,0.17,0.68
12.28,12.84,90.70,0.17,0.68
12.53,12.85,90.70,0.17,0.68
12.78,12.84,90.70,0.17,0.68
13.03,12.80,90.70,0.17,0.68
