t,mem_available_gib,gtt_used_gib,vram_used_gib,rss_gib
0.00,104.72,0.02,0.16,0.00
0.25,104.67,0.02,0.16,0.17
0.50,104.32,0.16,0.16,0.27
0.75,101.19,88.10,0.16,0.27
1.00,95.13,88.10,0.16,0.27
1.25,89.51,88.10,0.16,0.27
1.50,84.07,88.10,0.16,0.27
1.75,78.64,88.10,0.16,0.27
2.01,73.21,88.10,0.16,0.27
2.26,67.78,88.10,0.16,0.27
2.51,62.31,88.10,0.16,0.27
2.76,56.76,88.10,0.16,0.27
3.01,51.32,88.10,0.16,0.27
3.26,45.89,88.10,0.16,0.27
3.51,40.46,88.10,0.16,0.27
3.76,35.03,88.10,0.16,0.27
4.01,29.60,88.10,0.16,0.27
4.26,24.21,88.10,0.16,0.27
4.51,18.44,88.10,0.16,0.27
4.76,15.79,88.10,0.16,0.61
5.01,15.76,88.10,0.17,0.65
5.26,15.85,88.10,0.17,0.65
5.52,15.62,88.10,0.17,0.65
5.77,15.63,88.10,0.17,0.65
6.02,15.68,88.10,0.17,0.65
6.27,16.05,88.10,0.17,0.65
6.52,16.01,88.10,0.17,0.65
6.77,16.03,88.10,0.17,0.65
7.02,15.97,88.10,0.17,0.65
7.27,16.04,88.10,0.17,0.65
7.52,16.02,88.10,0.17,0.65
7.77,15.99,88.10,0.17,0.65
8.02,16.03,88.10,0.17,0.65
8.27,16.02,88.10,0.17,0.65
8.52,15.98,88.10,0.17,0.66
8.77,16.00,88.10,0.17,0.66
9.02,16.00,88.10,0.17,0.66
9.27,16.01,88.10,0.17,0.66
9.52,16.01,88.10,0.17,0.66
9.77,15.99,88.10,0.17,0.66
10.02,15.93,88.10,0.17,0.66
10.27,15.98,88.10,0.17,0.66
10.52,15.95,88.10,0.17,0.66
10.77,15.97,88.10,0.17,0.67
11.02,15.98,88.10,0.17,0.67
11.28,15.97,88.10,0.17,0.67
11.53,15.93,88.10,0.17,0.67
11.78,15.95,88.10,0.17,0.67
12.03,15.95,88.10,0.17,0.67
12.28,15.94,88.10,0.17,0.67
12.53,15.91,88.10,0.17,0.67
12.78,15.91,88.10,0.17,0.67
13.03,15.87,88.10,0.17,0.67
13.28,15.87,88.10,0.17,0.67
13.53,15.86,88.10,0.17,0.67
13.78,15.87,88.10,0.17,0.67
14.03,15.88,88.10,0.17,0.67
14.28,15.88,88.10,0.17,0.67
14.53,15.86,88.10,0.17,0.68
14.78,15.97,88.10,0.17,0.68
15.03,16.05,88.10,0.17,0.68
15.28,16.03,88.10,0.17,0.68
15.54,15.99,88.10,0.17,0.68
15.79,15.95,88.10,0.17,0.68
16.04,15.95,88.10,0.17,0.68
16.29,15.95,88.10,0.17,0.68
16.54,15.94,88.10,0.17,0.68
16.79,15.94,88.10,0.17,0.68
17.04,15.96,88.10,0.17,0.68
17.29,15.93,88.10,0.17,0.68
17.54,15.96,88.10,0.17,0.68
17.79,15.96,88.10,0.17,0.68
18.04,15.94,88.10,0.17,0.69
18.29,15.92,88.10,0.17,0.69
18.54,15.93,88.10,0.17,0.69
18.79,15.91,88.10,0.17,0.69
19.04,15.90,88.10,0.17,0.69
19.29,15.98,88.10,0.17,0.69
19.54,15.95,88.10,0.17,0.69
19.80,15.93,88.10,0.17,0.69
20.05,15.93,88.10,0.17,0.69
20.30,15.94,88.10,0.17,0.69
20.55,15.95,88.10,0.17,0.69
20.80,15.90,88.10,0.17,0.69
21.05,15.94,88.10,0.17,0.69
21.30,15.93,88.10,0.17,0.69
21.55,15.94,88.10,0.17,0.70
21.80,15.90,88.10,0.17,0.70
22.05,15.87,88.10,0.17,0.70
22.30,15.91,88.10,0.17,0.70
22.55,15.91,88.10,0.17,0.71
22.80,15.89,88.10,0.17,0.71
23.05,15.87,88.10,0.17,0.71
23.30,15.88,88.10,0.17,0.71
23.55,15.87,88.10,0.17,0.71
23.80,16.04,88.10,0.17,0.71
24.06,16.05,88.10,0.17,0.71
24.31,16.04,88.10,0.17,0.71
24.56,16.03,88.10,0.17,0.71
24.81,16.01,88.10,0.17,0.71
25.06,16.00,88.10,0.17,0.71
25.31,15.99,88.10,0.17,0.71
25.56,16.00,88.10,0.17,0.71
25.81,15.99,88.10,0.17,0.71
26.06,15.96,88.10,0.17,0.71
26.31,15.97,88.10,0.17,0.72
26.56,15.98,88.10,0.17,0.72
26.81,15.99,88.10,0.17,0.72
27.06,16.00,88.10,0.17,0.72
27.31,16.00,88.10,0.17,0.72
27.56,15.98,88.10,0.17,0.72
27.81,16.05,88.10,0.17,0.72
28.07,16.01,88.10,0.17,0.72
28.32,15.99,88.10,0.17,0.72
28.57,15.96,88.10,0.17,0.72
28.82,15.94,88.10,0.17,0.72
29.07,15.95,88.10,0.17,0.72
29.32,15.96,88.10,0.17,0.72
29.57,15.95,88.10,0.17,0.72
29.82,15.90,88.10,0.17,0.72
30.07,15.93,88.10,0.17,0.73
30.32,16.03,88.10,0.17,0.73
30.57,16.91,88.10,0.17,0.73
30.82,17.02,88.10,0.17,0.73
31.07,17.18,88.10,0.17,0.73
31.32,17.40,88.10,0.17,0.73
31.57,17.38,88.10,0.17,0.73
31.82,17.38,88.10,0.17,0.73
