t,mem_available_gib,gtt_used_gib,vram_used_gib,rss_gib
0.00,106.63,0.02,0.16,0.00
0.25,106.53,0.02,0.16,0.16
0.50,106.16,0.16,0.16,0.27
0.75,106.16,0.16,0.16,0.27
1.00,104.00,94.67,0.16,0.27
1.25,98.19,94.67,0.16,0.27
1.50,92.52,94.67,0.16,0.27
1.75,87.07,94.67,0.16,0.27
2.01,81.63,94.67,0.16,0.27
2.26,76.19,94.67,0.16,0.27
2.51,70.75,94.67,0.16,0.27
2.76,65.29,94.67,0.16,0.27
3.01,59.82,94.67,0.16,0.27
3.26,54.26,94.67,0.16,0.27
3.51,48.81,94.67,0.16,0.27
3.76,43.35,94.67,0.16,0.27
4.01,37.92,94.67,0.16,0.27
4.26,32.47,94.67,0.16,0.27
4.51,26.99,94.67,0.16,0.27
4.76,21.58,94.67,0.16,0.27
5.01,16.19,94.67,0.16,0.27
5.26,11.42,94.67,0.16,0.27
5.52,11.12,94.67,0.17,0.65
5.77,11.09,94.67,0.17,0.65
6.02,11.08,94.67,0.17,0.65
6.27,11.07,94.67,0.17,0.65
6.52,10.92,94.67,0.17,0.65
6.77,10.99,94.67,0.17,0.65
7.02,11.05,94.67,0.17,0.65
7.27,11.10,94.67,0.17,0.65
7.52,11.14,94.67,0.17,0.65
7.77,11.14,94.67,0.17,0.65
8.02,11.13,94.67,0.17,0.65
8.27,11.14,94.67,0.17,0.65
8.52,11.13,94.67,0.17,0.65
8.77,11.10,94.67,0.17,0.65
9.02,11.13,94.67,0.17,0.66
9.28,11.13,94.67,0.17,0.66
9.53,11.11,94.67,0.17,0.66
9.78,11.11,94.67,0.17,0.66
10.03,11.11,94.67,0.17,0.66
10.28,11.11,94.67,0.17,0.66
10.53,11.09,94.67,0.17,0.66
10.78,11.13,94.67,0.17,0.66
11.03,11.19,94.67,0.17,0.66
11.28,11.19,94.67,0.17,0.67
11.53,11.19,94.67,0.17,0.67
11.78,11.17,94.67,0.17,0.67
12.03,11.18,94.67,0.17,0.67
12.28,11.19,94.67,0.17,0.67
12.53,11.18,94.67,0.17,0.67
12.78,11.19,94.67,0.17,0.67
13.04,11.18,94.67,0.17,0.67
13.29,11.19,94.67,0.17,0.67
13.54,11.21,94.67,0.17,0.67
13.79,11.22,94.67,0.17,0.67
14.04,11.23,94.67,0.17,0.67
14.29,11.22,94.67,0.17,0.67
14.54,11.23,94.67,0.17,0.67
14.79,11.22,94.67,0.17,0.67
15.04,11.24,94.67,0.17,0.67
15.29,11.25,94.67,0.17,0.68
15.54,11.20,94.67,0.17,0.68
15.79,11.23,94.67,0.17,0.68
16.04,11.24,94.67,0.17,0.68
16.29,11.21,94.67,0.17,0.68
16.54,11.21,94.67,0.17,0.68
16.79,11.24,94.67,0.17,0.68
17.05,11.23,94.67,0.17,0.68
17.30,11.24,94.67,0.17,0.68
17.55,11.19,94.67,0.17,0.68
17.80,11.16,94.67,0.17,0.68
18.05,11.18,94.67,0.17,0.68
18.30,11.18,94.67,0.17,0.68
18.55,11.19,94.67,0.17,0.68
18.80,11.19,94.67,0.17,0.68
19.05,11.18,94.67,0.17,0.69
19.30,11.18,94.67,0.17,0.69
19.55,11.19,94.67,0.17,0.69
19.80,11.20,94.67,0.17,0.69
20.05,11.20,94.67,0.17,0.69
20.30,11.15,94.67,0.17,0.69
20.55,11.13,94.67,0.17,0.69
20.80,11.16,94.67,0.17,0.69
21.05,11.13,94.67,0.17,0.69
21.31,11.13,94.67,0.17,0.69
21.56,11.13,94.67,0.17,0.69
21.81,11.21,94.67,0.17,0.69
22.06,11.19,94.67,0.17,0.69
22.31,11.19,94.67,0.17,0.69
22.56,11.17,94.67,0.17,0.69
22.81,11.21,94.67,0.17,0.70
23.06,11.15,94.67,0.17,0.70
23.31,11.21,94.67,0.17,0.70
23.56,11.19,94.67,0.17,0.70
23.81,11.20,94.67,0.17,0.70
24.06,11.22,94.67,0.17,0.71
24.31,11.21,94.67,0.17,0.71
24.56,11.20,94.67,0.17,0.71
24.81,11.22,94.67,0.17,0.71
25.06,11.21,94.67,0.17,0.71
25.32,11.19,94.67,0.17,0.71
25.57,11.19,94.67,0.17,0.71
25.82,11.18,94.67,0.17,0.71
26.07,11.19,94.67,0.17,0.71
26.32,11.16,94.67,0.17,0.71
26.57,11.16,94.67,0.17,0.71
