t,mem_available_gib,gtt_used_gib,vram_used_gib,rss_gib
0.00,106.50,0.02,0.16,0.00
0.25,106.41,0.02,0.16,0.16
0.50,106.06,0.16,0.16,0.26
0.75,104.04,92.07,0.16,0.27
1.00,98.37,92.07,0.16,0.27
1.25,92.94,92.07,0.16,0.27
1.50,87.50,92.07,0.16,0.27
1.75,82.08,92.07,0.16,0.27
2.01,76.64,92.07,0.16,0.27
2.26,71.20,92.07,0.16,0.27
2.51,65.68,92.07,0.16,0.27
2.76,60.24,92.07,0.16,0.27
3.01,54.79,92.07,0.16,0.27
3.26,49.36,92.07,0.16,0.27
3.51,43.92,92.07,0.16,0.27
3.76,38.50,92.07,0.16,0.27
4.01,32.91,92.07,0.16,0.27
4.26,27.47,92.07,0.16,0.27
4.51,22.02,92.07,0.16,0.27
4.76,16.64,92.07,0.16,0.27
5.01,13.97,92.07,0.17,0.45
5.27,13.89,92.07,0.17,0.65
5.52,13.86,92.07,0.17,0.65
5.77,13.54,92.07,0.17,0.65
6.02,13.04,92.07,0.17,0.65
6.27,13.04,92.07,0.17,0.65
6.52,13.21,92.07,0.17,0.65
6.77,13.16,92.07,0.17,0.65
7.02,13.38,92.07,0.17,0.65
7.27,13.53,92.07,0.17,0.65
7.52,13.61,92.07,0.17,0.65
7.77,13.71,92.07,0.17,0.65
8.02,13.71,92.07,0.17,0.65
8.27,13.71,92.07,0.17,0.65
8.52,13.75,92.07,0.17,0.65
8.77,13.74,92.07,0.17,0.66
9.03,13.76,92.07,0.17,0.66
9.28,13.77,92.07,0.17,0.66
9.53,13.77,92.07,0.17,0.66
9.78,13.77,92.07,0.17,0.66
10.03,13.92,92.07,0.17,0.66
10.28,13.92,92.07,0.17,0.66
10.53,13.89,92.07,0.17,0.66
10.78,13.88,92.07,0.17,0.66
11.03,13.87,92.07,0.17,0.67
11.28,13.89,92.07,0.17,0.67
11.53,13.84,92.07,0.17,0.67
11.78,13.88,92.07,0.17,0.67
12.03,13.89,92.07,0.17,0.67
12.28,13.92,92.07,0.17,0.67
12.53,13.91,92.07,0.17,0.67
12.79,13.88,92.07,0.17,0.67
13.04,13.86,92.07,0.17,0.67
13.29,13.86,92.07,0.17,0.67
13.54,13.83,92.07,0.17,0.67
13.79,13.84,92.07,0.17,0.67
14.04,13.84,92.07,0.17,0.67
14.29,13.85,92.07,0.17,0.67
14.54,13.83,92.07,0.17,0.67
14.79,13.83,92.07,0.17,0.67
15.04,13.82,92.07,0.17,0.67
15.29,13.85,92.07,0.17,0.67
15.54,13.84,92.07,0.17,0.67
15.79,13.83,92.07,0.17,0.67
16.04,13.83,92.07,0.17,0.67
16.29,13.82,92.07,0.17,0.68
16.55,13.83,92.07,0.17,0.68
16.80,13.79,92.07,0.17,0.68
17.05,13.82,92.07,0.17,0.68
17.30,13.81,92.07,0.17,0.68
17.55,13.82,92.07,0.17,0.68
17.80,13.73,92.07,0.17,0.68
18.05,13.79,92.07,0.17,0.68
18.30,13.78,92.07,0.17,0.68
18.55,13.81,92.07,0.17,0.68
18.80,13.83,92.07,0.17,0.68
19.05,13.91,92.07,0.17,0.68
19.30,13.85,92.07,0.17,0.68
19.55,13.86,92.07,0.17,0.68
19.80,13.88,92.07,0.17,0.68
20.05,13.84,92.07,0.17,0.69
20.31,13.91,92.07,0.17,0.69
20.56,13.91,92.07,0.17,0.69
20.81,13.87,92.07,0.17,0.69
21.06,13.88,92.07,0.17,0.69
21.31,13.90,92.07,0.17,0.69
21.56,13.89,92.07,0.17,0.69
21.81,13.88,92.07,0.17,0.69
22.06,13.86,92.07,0.17,0.69
22.31,13.84,92.07,0.17,0.69
22.56,13.83,92.07,0.17,0.70
22.81,13.83,92.07,0.17,0.70
23.06,13.82,92.07,0.17,0.70
23.31,13.82,92.07,0.17,0.70
23.56,13.81,92.07,0.17,0.70
23.81,13.81,92.07,0.17,0.70
24.06,13.82,92.07,0.17,0.70
24.32,13.81,92.07,0.17,0.70
24.57,13.80,92.07,0.17,0.70
24.82,13.80,92.07,0.17,0.71
25.07,13.81,92.07,0.17,0.71
25.32,13.80,92.07,0.17,0.71
25.57,13.81,92.07,0.17,0.71
25.82,13.81,92.07,0.17,0.71
26.07,13.82,92.07,0.17,0.71
26.32,13.79,92.07,0.17,0.71
26.57,13.77,92.07,0.17,0.71
26.82,13.78,92.07,0.17,0.71
27.07,13.81,92.07,0.17,0.71
27.32,13.79,92.07,0.17,0.71
27.57,13.77,92.07,0.17,0.71
27.82,13.86,92.07,0.17,0.71
28.07,13.85,92.07,0.17,0.71
28.33,13.86,92.07,0.17,0.71
28.58,13.84,92.07,0.17,0.71
28.83,13.85,92.07,0.17,0.72
29.08,13.83,92.07,0.17,0.72
29.33,13.85,92.07,0.17,0.72
29.58,13.84,92.07,0.17,0.72
29.83,13.86,92.07,0.17,0.72
30.08,13.84,92.07,0.17,0.72
30.33,13.83,92.07,0.17,0.72
30.58,13.80,92.07,0.17,0.72
30.83,13.80,92.07,0.17,0.72
31.08,13.79,92.07,0.17,0.72
31.33,13.79,92.07,0.17,0.72
31.58,13.80,92.07,0.17,0.72
31.83,13.80,92.07,0.17,0.72
32.08,13.80,92.07,0.17,0.72
32.34,13.80,92.07,0.17,0.72
32.59,13.80,92.07,0.17,0.72
32.84,13.80,92.07,0.17,0.73
33.09,13.81,92.07,0.17,0.73
33.34,13.81,92.07,0.17,0.73
33.59,13.80,92.07,0.17,0.73
33.84,13.80,92.07,0.17,0.73
34.09,13.80,92.07,0.17,0.73
34.34,13.79,92.07,0.17,0.73
34.59,13.81,92.07,0.17,0.73
34.84,13.82,92.07,0.17,0.73
35.09,13.81,92.07,0.17,0.73
35.34,13.83,92.07,0.17,0.73
35.59,13.82,92.07,0.17,0.73
35.84,13.82,92.07,0.17,0.73
36.09,13.82,92.07,0.17,0.73
36.35,13.81,92.07,0.17,0.73
36.60,13.80,92.07,0.17,0.73
36.85,13.85,92.07,0.17,0.74
37.10,13.83,92.07,0.17,0.74
